cohort_date_proxy,acquisition_timestamp_basis,timezone_status,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,acquired_observed,seminar_applied_observed,seminar_applied_timestamped,meeting_applied_observed,meeting_applied_timestamped,observed_event_flags,timestamped_event_flags,event_timestamp_coverage_rate,event_timestamp_completeness,cohort_age_days,d7_denominator_eligible_proxy,d7_outcome_exact,snapshot_at,quality
2026-08-03,proxy_reader_created_at,unverified,line-satori-legacy,さとりの世界一やさしいAI教室,YouTube,youtube-satori-legacy,YouTube｜Satori｜旧ルート,,,,,3,0,0,0,0,3,0,0,partial,17,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
2026-08-03,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,2,0,0,partial,17,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-04,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,5,0,0,0,0,5,5,1,complete,16,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-04,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,1,1,1,complete,16,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-04,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,2,0,0,0,0,7,2,0.2857142857142857,partial,16,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-05,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,4,1,0,0,0,5,4,0.8,partial,15,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-05,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,WRjN6UeNtcE,【最新版】今アツい稼げるAI副業5選 |Claude CodeやCodexを活用して時代に乗る方法,1,0,0,0,0,1,1,1,complete,15,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-05,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,0,0,,unknown,15,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-05,proxy_reader_created_at,unverified,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,2,0,0,0,0,4,4,1,complete,15,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-05,proxy_reader_created_at,unverified,line-satori-legacy,さとりの世界一やさしいAI教室,YouTube,youtube-satori-legacy,YouTube｜Satori｜旧ルート,,,,,1,0,0,0,0,1,0,0,partial,15,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
